id,stateid,status,title,namespace,showvideouuid,videoplaylistuuid,episodeuuid,seriesuuid,uri_1200,uri_400,lang,hostentry,take
2935,1,NULL,Daniela - Henry - Steve 207 2,mtv-intl-latinamerica,e5cafd96-744b-11e5-8ff7-0026b9414f30,3459b26b-0d56-457f-b442-172857f65876,05bca85c-10aa-4bbd-b8a2-61236b847330,90111094-e7e7-4f8f-a360-59c412a5dfde,mgid:file:gsp:alias:/mediabus/mtv-intl-latinamerica/.com/2015/10/16/05/21/55/0b8a756d896c41db8b23376ffd1f5671/926402/Ex45xQpQxu_HDMSCCB207S1V2_926402_6006187_640x360_1200_m30.mp4,mgid:file:gsp:alias:/mediabus/mtv-intl-latinamerica/.com/2015/10/16/05/21/55/0b8a756d896c41db8b23376ffd1f5671/926402/Ex45xQpQxu_HDMSCCB207S1V2_926402_6006187_384x216_400_m30.mp4,spa,NULL,1
2936,1,NULL,Marcela (Fresa) - Leoncio 205 2,mtv-intl-latinamerica,55479508-744c-11e5-8ff7-0026b9414f30,576e7c1e-3707-4f14-a4aa-97cb66d62cd2,cafefaf1-a853-4626-8fe3-b45e4a466066,90111094-e7e7-4f8f-a360-59c412a5dfde,mgid:file:gsp:alias:/mediabus/mtv-intl-latinamerica/.com/2015/10/16/05/25/01/3b0950165db34191b4df685908164aff/914782/j6jOicTZjR_HDMSCCB205S1V2_914782_5971714_640x360_1200_m30.mp4,mgid:file:gsp:alias:/mediabus/mtv-intl-latinamerica/.com/2015/10/16/05/25/01/3b0950165db34191b4df685908164aff/914782/j6jOicTZjR_HDMSCCB205S1V2_914782_5971714_384x216_400_m30.mp4,spa,NULL,1
2937,1,NULL,Karem - Juan David (Laura) 209 2,mtv-intl-latinamerica,718f9972-744c-11e5-8ff7-0026b9414f30,a60c13e4-dd03-4f7a-8634-f657dc0ee392,98f3deef-4db3-459b-aa57-796a7c117851,90111094-e7e7-4f8f-a360-59c412a5dfde,mgid:file:gsp:alias:/mediabus/mtv-intl-latinamerica/.com/2015/10/16/05/26/02/8a82956e1aa040eea6bd98ae63450394/918314/fdf34fDFnk_HDMSCCB209S1V2_918314_5983392_640x360_1200_m30.mp4,mgid:file:gsp:alias:/mediabus/mtv-intl-latinamerica/.com/2015/10/16/05/26/02/8a82956e1aa040eea6bd98ae63450394/918314/fdf34fDFnk_HDMSCCB209S1V2_918314_5983392_384x216_400_m30.mp4,spa,NULL,1
2938,1,NULL,Jonathan - Karoll (Juana) 202 2,mtv-intl-latinamerica,2cdfa52a-744b-11e5-8ff7-0026b9414f30,25c0a2df-5dbc-45f4-91c2-b30cb68c26ab,48a84d6d-b51f-42f8-9f44-cb826d24f6dc,90111094-e7e7-4f8f-a360-59c412a5dfde,mgid:file:gsp:alias:/mediabus/mtv-intl-latinamerica/.com/2015/10/16/05/16/51/6b836a189dbd4300a62213db356dac5a/908067/5SsBtSuIh8_HDMSCCB202S1V2_908067_5941941_640x360_1200_m30.mp4,mgid:file:gsp:alias:/mediabus/mtv-intl-latinamerica/.com/2015/10/16/05/16/51/6b836a189dbd4300a62213db356dac5a/908067/5SsBtSuIh8_HDMSCCB202S1V2_908067_5941941_384x216_400_m30.mp4,spa,NULL,1
2939,1,NULL,Luis - Jonathan 203 2,mtv-intl-latinamerica,f5178186-744e-11e5-8ff7-0026b9414f30,2bcb5a5b-5755-42be-9b2e-3c9d84394ccc,9b541d9a-556d-4ef1-85c9-3b7cb7fc64e8,90111094-e7e7-4f8f-a360-59c412a5dfde,mgid:file:gsp:alias:/mediabus/mtv-intl-latinamerica/.com/2015/10/16/05/43/53/eb3d7fb62fa04a96b68b9222a2b2090c/894927/vbplJZzwAj_HDMSCCB203S1V2_894927_5899245_640x360_1200_m30.mp4,mgid:file:gsp:alias:/mediabus/mtv-intl-latinamerica/.com/2015/10/16/05/43/53/eb3d7fb62fa04a96b68b9222a2b2090c/894927/vbplJZzwAj_HDMSCCB203S1V2_894927_5899245_384x216_400_m30.mp4,spa,NULL,1
2940,1,NULL,Nataly - Alexander (Hernado) 206 2,mtv-intl-latinamerica,f7509ecc-7450-11e5-8ff7-0026b9414f30,c8b3639d-7f61-45ff-97e4-7b2eb4bdd230,de88d21b-a148-4a72-aa94-f17f16991bd6,90111094-e7e7-4f8f-a360-59c412a5dfde,mgid:file:gsp:alias:/mediabus/mtv-intl-latinamerica/.com/2015/10/16/05/58/26/fc4aaa0dd2b74fb1a13293f8a1973467/924585/ZcszRFR1zw_HDMSCCB206S1V2_924585_6002291_640x360_1200_m30.mp4,mgid:file:gsp:alias:/mediabus/mtv-intl-latinamerica/.com/2015/10/16/05/58/26/fc4aaa0dd2b74fb1a13293f8a1973467/924585/ZcszRFR1zw_HDMSCCB206S1V2_924585_6002291_384x216_400_m30.mp4,spa,NULL,1
2941,1,NULL,Jade - William 201 2,mtv-intl-latinamerica,0c71460c-744d-11e5-8ff7-0026b9414f30,a5ef787b-be2d-4d27-b6a0-ce686ec3558d,9180e8d4-7d0c-4a23-9423-85f03293ac09,90111094-e7e7-4f8f-a360-59c412a5dfde,mgid:file:gsp:alias:/mediabus/mtv-intl-latinamerica/.com/2015/10/16/05/30/18/c1e7f66973f84db89e86b6033e832d5e/894923/bbfQe265yw_HDMSCCB201S1V2_894923_5899244_640x360_1200_m30.mp4,mgid:file:gsp:alias:/mediabus/mtv-intl-latinamerica/.com/2015/10/16/05/30/18/c1e7f66973f84db89e86b6033e832d5e/894923/bbfQe265yw_HDMSCCB201S1V2_894923_5899244_384x216_400_m30.mp4,spa,NULL,1
2942,1,NULL,Cristian - Andrea 204 2,mtv-intl-latinamerica,df7212c4-7453-11e5-8ff7-0026b9414f30,95bb1b37-ab7b-4c8a-af52-4d75cab52706,a9c29a13-87ae-43c5-b07b-aed363b1c4c9,90111094-e7e7-4f8f-a360-59c412a5dfde,mgid:file:gsp:alias:/mediabus/mtv-intl-latinamerica/.com/2015/10/16/06/19/04/f1c67f7ec3b04c9cb6b786604c1477e9/894931/MBpyXl9tUz_HDMSCCB204S1V2_894931_5899246_640x360_1200_m30.mp4,mgid:file:gsp:alias:/mediabus/mtv-intl-latinamerica/.com/2015/10/16/06/19/04/f1c67f7ec3b04c9cb6b786604c1477e9/894931/MBpyXl9tUz_HDMSCCB204S1V2_894931_5899246_384x216_400_m30.mp4,spa,NULL,1
2943,1,NULL,El Heredero 202 2,mtv-intl-latinamerica,5533da72-7442-11e5-8ff7-0026b9414f30,23db2570-b5a9-4444-994b-25e1189727b7,a79a8234-a06c-11e4-a3c3-0026b9414f30,c8aa7db6-bd75-11e2-8a73-0026b9414f30,mgid:file:gsp:alias:/mediabus/mtv-intl-latinamerica/.com/2015/10/16/06/19/04/f1c67f7ec3b04c9cb6b786604c1477e9/894931/MBpyXl9tUz_HDMSCCB204S1V2_894931_5899246_640x360_1200_m30.mp4,mgid:file:gsp:alias:/mediabus/mtv-intl-latinamerica/.com/2015/10/16/04/13/41/d096f32478d649559653bd3173cc5e43/870658/vWdqdg2Zt8_HDMSFDB202S1V2_870658_5803858_384x216_400_m30.mp4,spa,NULL,1
2944,1,NULL,Juan Erection 201 2,mtv-intl-latinamerica,a0fd23f6-7446-11e5-8ff7-0026b9414f30,e8172ca8-e082-4ef0-b9b4-f92689921d6e,a79a819e-a06c-11e4-a3c3-0026b9414f30,c8aa7db6-bd75-11e2-8a73-0026b9414f30,mgid:file:gsp:alias:/mediabus/mtv-intl-latinamerica/.com/2015/10/16/04/44/14/72e22832ad0544eda5b7a34b4e560e4f/870285/e3eWRqNMni_HDMSFDB201S1V2_870285_5802295_640x360_1200_m30.mp4,mgid:file:gsp:alias:/mediabus/mtv-intl-latinamerica/.com/2015/10/16/04/44/14/72e22832ad0544eda5b7a34b4e560e4f/870285/e3eWRqNMni_HDMSFDB201S1V2_870285_5802295_384x216_400_m30.mp4,spa,NULL,1
