[I 150904 11:19:47 command:113] Visit me at http://localhost:5555
[I 150904 11:19:47 command:115] Broker: amqp://guest:**@localhost:5672//
[I 150904 11:19:47 command:118] Registered tasks: 
    ['celery.backend_cleanup',
     'celery.chain',
     'celery.chord',
     'celery.chord_unlock',
     'celery.chunks',
     'celery.group',
     'celery.map',
     'celery.starmap',
     'tasks_drift.ftpget',
     'tasks_drift.ftpput',
     'tasks_drift.generate_clips',
     'tasks_drift.generate_xml']
[I 150904 11:19:47 mixins:225] Connected to amqp://guest:**@127.0.0.1:5672//
[W 150904 11:19:49 control:44] 'stats' inspect method failed
[W 150904 11:19:49 control:44] 'active_queues' inspect method failed
[W 150904 11:19:49 control:44] 'registered' inspect method failed
[W 150904 11:19:49 control:44] 'scheduled' inspect method failed
[W 150904 11:19:49 control:44] 'active' inspect method failed
[W 150904 11:19:49 control:44] 'reserved' inspect method failed
[W 150904 11:19:49 control:44] 'revoked' inspect method failed
[W 150904 11:19:49 control:44] 'conf' inspect method failed
[I 150904 12:07:50 web:1908] 304 GET /static/js/bootstrap-tooltip.js?v=cbba0d4d7ed3f007b8d287f1b5eee7e8 (::1) 0.53ms
[I 150904 12:07:50 web:1908] 304 GET /static/js/bootstrap-popover.js?v=69df927a7b524b87ca3badade4fa4e09 (::1) 0.41ms
[I 150904 12:07:50 web:1908] 304 GET /static/js/bootstrap-modal.js?v=5fe4c14f9cbba0a03dfd2cf0a74bb812 (::1) 0.41ms
[I 150904 12:07:50 web:1908] 304 GET /static/js/bootstrap-dropdown.js?v=f0a761d953362eb3c150f6ac876a4638 (::1) 0.61ms
[I 150904 12:07:50 web:1908] 304 GET /static/js/bootstrap-scrollspy.js?v=f7f5435ab136c477b98c1cff0a09c749 (::1) 0.42ms
[I 150904 12:07:50 web:1908] 304 GET /static/js/bootstrap-button.js?v=8b493affaa8e27831d3162d46807b624 (::1) 0.55ms
[I 150904 12:07:50 web:1908] 304 GET /static/js/bootstrap-collapse.js?v=e8ddac0b5dd49cfbcf7d3ca8b0098d7b (::1) 0.43ms
[I 150904 12:07:50 web:1908] 304 GET /static/js/bootstrap-carousel.js?v=fc8cbc40f39316b8b567b3b96efe9044 (::1) 0.54ms
[I 150904 12:07:50 web:1908] 304 GET /static/js/bootstrap-typeahead.js?v=a71319e43efd22bf29161d0e75b892b7 (::1) 0.44ms
[I 150904 12:07:50 web:1908] 304 GET /static/js/d3.min.js?v=eb68d3d1035789d336b285373046b550 (::1) 0.34ms
